ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
CL00007646,Aug,4,Friday,Honda,Urban,Monday,Aug,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,All Perils
CL00009711,Dec,2,Tuesday,Chevrolet,Urban,Wednesday,Dec,3,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00010809,Feb,2,Sunday,Chevrolet,Urban,Monday,Feb,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00012496,Jun,3,Tuesday,Pontiac,Urban,Thursday,Jul,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
CL00015396,Jan,2,Sunday,Toyota,Rural,Thursday,Jan,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00011066,Nov,3,Friday,Mazda,Urban,Tuesday,Dec,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00009228,Jun,1,Tuesday,Honda,Urban,Thursday,Jun,2,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,1,3 years,18 to 20,No,No,External,none,no change,1 vehicle,1994,Collision
CL00014332,Jan,1,Tuesday,Toyota,Urban,Tuesday,Jan,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00000581,Feb,2,Sunday,Ford,Urban,Friday,Feb,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00006612,Jul,1,Monday,Accura,Urban,Monday,Jul,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00013115,May,5,Tuesday,Mazda,Urban,Monday,Jul,2,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00000520,Nov,2,Thursday,Honda,Urban,Friday,Nov,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
CL00004149,May,4,Wednesday,Toyota,Urban,Tuesday,Jun,2,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00003158,Nov,2,Friday,Mazda,Rural,Monday,Nov,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00010448,Jun,2,Monday,Honda,Urban,Thursday,Jun,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,3 to 4,1994,Collision
CL00014128,Oct,3,Wednesday,Toyota,Urban,Thursday,Oct,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
