variable,coef,points_per_unit_woe
Month,0.7679744574009756,-22.1590588244356
DayOfWeek,1.0107731035109002,-29.164746877982456
Make,0.6122746425158934,-17.666511808394844
AccidentArea,0.6729852398450594,-19.418249362318736
MonthClaimed,0.5248206664894437,-15.14312345800722
WeekOfMonthClaimed,0.07299940541826176,-2.1063176036953837
MaritalStatus,0.3012267270132255,-8.69156610490388
Fault,1.413092773891801,-40.773238744194614
PolicyType,0.6463581406596435,-18.649953683357577
VehicleCategory,-0.3172962164429252,9.155233559100788
VehiclePrice,0.10853805069063827,-3.131746149582775
Deductible,0.0006697248653995306,-0.019324174841438627
PastNumberOfClaims,-0.09111148727242621,2.628921817118944
AgeOfVehicle,0.6693869310854093,-19.314424118256046
AgeOfPolicyHolder,0.9802918471948975,-28.285243731439202
AgentType,0.5148229768700696,-14.85465111332286
NumberOfSuppliments,0.5628274695783281,-16.23976798473476
AddressChange_Claim,2.0783822730482306,-59.96943596796428
BasePolicy,0.7917132758755123,-22.84401633823115
