variable,coef,points_per_unit_woe
Month,0.606686880656001,-17.505283081896142
DayOfWeek,0.5936281139883626,-17.12848672366558
Make,0.4698296411242865,-13.55641786625299
AccidentArea,0.4524439447268281,-13.054772706752704
MonthClaimed,0.5288992862456074,-15.260807547925005
WeekOfMonthClaimed,0.048987820338435364,-1.413489709324404
MaritalStatus,0.3639734519031213,-10.502053881517416
Fault,1.1171641265489132,-32.234542904623346
PolicyType,0.5306714053455647,-15.311940096672462
VehicleCategory,-0.207588202116654,5.9897293948150505
VehiclePrice,0.1948039255782389,-5.6208531475485595
Deductible,0.0017354576408684307,-0.050074722643074894
PastNumberOfClaims,0.052428040396106115,-1.5127534776597709
AgeOfVehicle,0.5071564882521858,-14.633443011121807
AgeOfPolicyHolder,0.6597702136041118,-19.036944305858086
AgentType,0.5208300945643087,-15.027979891473162
NumberOfSuppliments,0.420724442842578,-12.13954134539519
AddressChange_Claim,0.9395971353434772,-27.111042551870216
BasePolicy,0.7453548860464086,-21.506395956030246
